SeatNumber,Counts,UseTime_m,AvgUseTime,DoorDistance,DoorRange,Corridor,Path,Table,Wall,AC
166,89,17654.88333,198.3694757,3599.542193,0,0,0,10,0,0
167,100,20077.56667,200.7756667,3599.542193,0,0,0,10,0,0
168,103,19476.26667,189.0899676,3599.542193,0,0,0,10,0,0
169,94,16929.36667,180.0996454,3599.542193,0,0,0,10,0,1
170,94,18972.03333,201.8301418,3599.542193,0,0,0,10,0,1
171,122,23657.38333,193.9129781,3599.542193,0,0,1,10,0,1
172,134,24932.53333,186.0636816,3599.542193,0,0,1,10,0,1
173,124,19414.56667,156.569086,1617.25199,0,0,1,8,0,1
174,174,28936.05,166.2991379,1617.25199,0,0,1,8,0,1
175,86,15383.78333,178.8812016,1617.25199,0,0,0,8,0,1
176,91,13726.7,150.8428571,1617.25199,0,0,1,8,0,1
177,55,10584.23333,192.4406061,1617.25199,0,0,0,8,0,0
178,95,15859.23333,166.9392982,1617.25199,0,0,1,8,0,0
179,112,19212.83333,171.5431548,1617.25199,0,0,0,8,0,0
180,168,28812.08333,171.500496,1617.25199,0,0,1,8,0,0
181,125,20586.16667,164.6893333,652.0007669,1,0,0,4,0,0
182,78,14560.81667,186.6771368,652.0007669,1,0,1,4,0,0
183,105,17422.93333,165.9326984,652.0007669,1,0,0,4,1,0
184,259,48184.58333,186.0408623,652.0007669,1,0,1,4,1,0
185,143,24983.91667,174.712704,3541.469187,0,0,0,10,1,0
186,247,42837.75,173.4321862,3541.469187,0,0,0,10,1,0
187,93,17700.61667,190.3292115,3541.469187,0,0,0,10,0,0
188,91,17338.43333,190.5322344,3541.469187,0,0,0,10,0,0
189,90,17421.98333,193.5775926,3541.469187,0,0,0,10,0,0
190,100,17455.91667,174.5591667,3541.469187,0,0,0,10,0,0
191,83,16370.21667,197.2315261,3541.469187,0,0,0,10,0,1
192,87,16371.66667,188.1800766,3541.469187,0,0,0,10,0,1
193,110,18918.25,171.9840909,3541.469187,0,0,1,10,0,1
194,180,31806.3,176.7016667,3541.469187,0,0,1,10,0,1
195,174,28445.71667,163.4811303,3061.167261,0,0,0,10,1,0
196,258,43362.83333,168.0729974,3061.167261,0,0,0,10,1,0
197,109,20360.33333,186.7920489,3061.167261,0,0,0,10,0,0
198,87,15316.08333,176.0469349,3061.167261,0,0,0,10,0,0
199,91,16755.13333,184.1223443,3061.167261,0,0,0,10,0,0
200,114,20495.21667,179.7826023,3061.167261,0,0,0,10,0,0
201,85,19327.51667,227.382549,3061.167261,0,0,0,10,0,1
202,73,13539.01667,185.4659817,3061.167261,0,0,0,10,0,1
203,112,18861.98333,168.4105655,3061.167261,0,0,1,10,0,1
204,168,31853.35,189.6032738,3061.167261,0,0,1,10,0,1
205,174,31141.03333,178.9714559,1036.768537,1,1,1,6,0,1
206,151,27090.08333,179.4045254,1036.768537,1,1,1,6,0,1
207,24,3152.466667,131.3527778,1036.768537,1,1,1,6,0,0
208,77,13329.71667,173.1132035,1036.768537,1,1,0,6,0,0
209,166,27233.08333,164.0547189,1036.768537,1,1,1,6,1,0
210,120,20196.58333,168.3048611,1036.768537,1,1,0,6,1,0
211,153,26624.18333,174.0142702,2989.010706,0,0,0,10,1,0
212,246,46221.18333,187.8909892,2989.010706,0,0,0,10,1,0
213,103,19197.71667,186.3855987,2989.010706,0,0,0,10,0,0
